SRName,TownName,Latitude,Longitude
ရှမ်း (မြောက်),(မန်ဟျိုး) မန်ဟီးရိုး,23.95176,97.80064
ရှမ်း (မြောက်),မုန်းကိုး,24.0998,98.3031
ရှမ်း (မြောက်),မူဆယ်,23.98989,97.90165
ရှမ်း (မြောက်),ပန်ဆိုင်း (ကြူကုတ်),24.07548,98.06229
ရှမ်း (မြောက်),နမ်ခမ်းဝူး,22.47704,99.18664
ရှမ်း (မြောက်),နမ့်တစ်,23.47584,98.86718
ရှမ်း (မြောက်),နမ့်ခမ်း,23.837,97.6818
ရှမ်း (မြောက်),နမ့်ဆန်,22.96407,97.16126
ရှမ်း (မြောက်),နမ္မတူ,23.09361,97.40049
ရှမ်း (မြောက်),နားကောင်,22.37369,98.71027
ရှမ်း (မြောက်),နာဝီး,23.11117,98.66354
ရှမ်း (မြောက်),နားဖန်,22.60793,99.09258
ရှမ်း (မြောက်),နောင်ခစ်,22.43836,98.9248
ရှမ်း (မြောက်),ဝိန်းကောင်,22.30273,98.93896
ရှမ်း (မြောက်),နောင်ချို,22.33003,96.79895
ရှမ်း (မြောက်),ပန်ခမ့်,22.17594,99.17044
ရှမ်း (မြောက်),ပန်ယန်း,22.12912,98.79675
ရှမ်း (မြောက်),မန်ကန်,22.68954,98.59519
ရှမ်း (မြောက်),ပန်ဆန်း (ပန်ခမ်း),22.17594,99.17044
ရှမ်း (မြောက်),ပန်ဝိုင်,23.05628,99.30908
ရှမ်း (မြောက်),တန့်ယန်း,22.4981,98.3968
ရှမ်း (မြောက်),ယောင်လင်း,22.95939,99.31197
ရှမ်း (မြောက်),ရင်ဖန့်,22.62819,99.28307
ရှမ်း (တောင်),ဟိုပုံး,20.79743,97.17024
ရှမ်း (တောင်),ဆီဆိုင်,20.16227,97.2519
ရှမ်း (တောင်),အောင်ပန်း,20.66122,96.63584
ရှမ်း (တောင်),ဟဲဟိုး,20.7221,96.8239
ရှမ်း (တောင်),ကလော,20.62418,96.55864
ရှမ်း (တောင်),ကာလိ,21.28872,98.53381
ရှမ်း (တောင်),ကွန်ဟိန်း,21.301,98.424
ရှမ်း (တောင်),ကျေးသီး,21.92515,97.81933
